user_ID,first_name,last_name,username,dept_ID,role_ID
1,SCOTT,WEST,SWEST1,30,5
2,MILTON,HARVEY,MHARVE1,28,5
3,DANA,SHEPHERD,DSHEPH1,28,5
4,DAVID,LANG,DLANG1,30,5
5,JOHN,JACKSON,JJACKS1,1,5
6,RAYMOND,CALDWELL,RCALDW1,24,5
7,MICHAEL,GUZMAN,MGUZMA1,29,5
8,RONALD,GUTIERREZ,RGUTIE1,30,5
9,CHARLES,ANDERSON,CANDER1,29,5
10,JOEL,HENDERSON,JHENDE1,28,5
11,MORRIS,ZAMORA,MZAMOR1,24,5
12,MILDRED,EVANS,MEVANS1,27,5
13,JOSEPH,WALKER,JWALKE1,30,5
14,COREY,DOUGLAS,CDOUGL1,29,5
15,DORIS,FIELDS,DFIELD1,30,5
16,ANDREW,WYATT,AWYATT1,30,5
17,SEAN,WILKINS,SWILKI1,30,5
18,RALPH,WALTERS,RWALTE1,28,5
19,CAROL,MEDINA,CMEDIN1,30,5
20,ROBERT,RUSSO,RRUSSO1,30,5
21,CRYSTAL,THOMAS,CTHOMA1,25,5
22,RITA,BUSH,RBUSH1,27,5
23,DONNA,DANIELS,DDANIE1,30,5
24,ROBERT,TURNER,RTURNE1,7,5
25,TANYA,ALLEN,TALLEN1,30,5
26,ALICE,WALKER,AWALKE1,27,5
27,RITA,COMBS,RCOMBS1,29,5
28,RONNIE,ALLEN,RALLEN1,15,5
29,SARA,MILES,SMILES1,30,5
30,JOAN,LEWIS,JLEWIS1,30,5
31,FRANCES,DAVIS,FDAVIS1,30,5
32,AMANDA,AYALA,AAYALA1,19,5
33,MATTHEW,WALKER,MWALKE1,24,5
34,ELIZABETH,MAYER,EMAYER1,30,5
35,CAROL,FISHER,CFISHE1,30,5
36,YVONNE,WARD,YWARD1,26,5
37,JOSEPH,KEY,JKEY1,29,5
38,LISA,WILLIAMSON,LWILLI1,24,5
39,ANN,GARCIA,AGARCI1,30,5
40,MATTHEW,LEE,MLEE1,7,5
41,LISA,JOHNSON,LJOHNS1,30,5
42,SHEILA,SHAW,SSHAW1,15,5
43,CLIFFORD,DOMINGUEZ,CDOMIN1,30,5
44,VINCENT,PARKER,VPARKE1,29,5
45,NORMA,BROWN,NBROWN1,29,5
46,CATHERINE,MORROW,CMORRO1,30,5
47,ERIC,BUTLER,EBUTLE1,24,5
48,MANUEL,GRAVES,MGRAVE1,30,5
49,BECKY,TORRES,BTORRE1,21,5
50,BARBARA,LEE,BLEE1,9,5
51,JULIAN,FOSTER,JFOSTE1,20,5
52,LOUISE,LEONARD,LLEONA1,30,5
53,VIVIAN,ROMERO,VROMER1,30,5
54,ROBERT,BARTON,RBARTO1,12,5
55,MARILYN,GRAHAM,MGRAHA1,20,5
56,CLIFFORD,MENDEZ,CMENDE1,30,5
57,STEVE,BLACK,SBLACK1,12,5
58,MARIAN,ROBINSON,MROBIN1,30,5
59,CHRISTY,GUZMAN,CGUZMA1,17,5
60,HAROLD,KENNEDY,HKENNE1,30,5
61,JAMES,GUTIERREZ,JGUTIE1,22,5
62,KEVIN,RANDOLPH,KRANDO1,30,5
63,DEREK,THOMAS,DTHOMA1,15,5
64,GAIL,CARROLL,GCARRO1,20,5
65,MARY,SUTTON,MSUTTO1,27,5
66,ELIZABETH,GARDNER,EGARDN1,27,5
67,JOHN,COX,JCOX1,27,5
68,THERESA,HICKS,THICKS1,30,5
69,THOMAS,GOOD,TGOOD1,29,5
70,EDWARD,WILLIAMS,EWILLI1,23,5
71,THOMAS,BLAIR,TBLAIR1,1,5
72,THOMAS,SEXTON,TSEXTO1,5,5
73,LORI,NELSON,LNELSO1,29,5
74,JAIME,SLATER,JSLATE1,27,5
75,DANIEL,JONES,DJONES1,30,5
76,RONNIE,STRICKLAND,RSTRIC1,9,5
77,WILLIE,MCKINNEY,WMCKIN1,28,5
78,MEGAN,BROWN,MBROWN1,30,5
79,EDITH,WATTS,EWATTS1,15,5
80,DAVID,COOK,DCOOK1,28,5
81,SARAH,ORR,SORR1,30,5
82,ROBERT,LONG,RLONG1,17,5
83,DEBORAH,RUSSELL,DRUSSE1,30,5
84,CYNTHIA,EATON,CEATON1,19,5
85,IAN,HANSON,IHANSO1,26,5
86,JERRY,HERNANDEZ,JHERNA1,18,5
87,SUSAN,VALDEZ,SVALDE1,30,5
88,MARGARET,HEATH,MHEATH1,30,5
89,ROBERT,JOHNSON,RJOHNS1,27,5
90,JACK,FIELDS,JFIELD1,16,5
91,SHAWN,WILLIAMS,SWILLI1,28,5
92,JESSICA,PETERSON,JPETER1,30,5
93,STEVE,HUNTER,SHUNTE1,27,5
94,JENNIFER,MARTIN,JMARTI1,29,5
95,GLORIA,BRENNAN,GBRENN1,30,5
96,BRETT,SANTANA,BSANTA1,30,5
97,SHARON,LLOYD,SLLOYD1,29,5
98,TARA,ALLEN,TALLEN2,30,5
99,MELINDA,FRANK,MFRANK1,20,5
100,SHELLY,COCHRAN,SCOCHR1,23,5
101,VIRGINIA,WILSON,VWILSO1,30,5
102,NINA,PERRY,NPERRY1,19,5
103,HAROLD,JOHNSON,HJOHNS1,30,5
104,DANIEL,THOMAS,DTHOMA2,30,5
105,JAMES,COOK,JCOOK1,5,5
106,WANDA,ANDERSON,WANDER1,12,5
107,KENNETH,MENDOZA,KMENDO1,21,5
108,JANET,BRIGGS,JBRIGG1,29,5
109,ALICIA,GARCIA,AGARCI2,15,5
110,JAMES,LOPEZ,JLOPEZ1,21,5
111,BRETT,LEE,BLEE2,30,5
112,THERESA,THOMPSON,TTHOMP1,3,5
113,JAIME,ALLEN,JALLEN1,8,5
114,WILLIAM,ORTIZ,WORTIZ1,30,5
115,CARRIE,RAMSEY,CRAMSE1,29,5
116,DIANNE,SWANSON,DSWANS1,26,5
117,CHARLES,HODGES,CHODGE1,30,5
118,JOHN,MELENDEZ,JMELEN1,29,5
119,SANDRA,FERGUSON,SFERGU1,30,5
120,CYNTHIA,HAMILTON,CHAMIL1,26,5
121,DEBRA,PAYNE,DPAYNE1,28,5
122,MELISSA,PORTER,MPORTE1,27,5
123,SUZANNE,NOEL,SNOEL1,19,5
124,TRACY,RANDOLPH,TRANDO1,21,5
125,FRANK,SEARS,FSEARS1,29,5
126,ROBERTO,MULLINS,RMULLI1,30,5
127,MICHELLE,ALLEN,MALLEN1,27,5
128,GERALDINE,NUNEZ,GNUNEZ1,29,5
129,DAVID,WOODWARD,DWOODW1,23,5
130,EVA,WHITLEY,EWHITL1,26,5
131,JOSEPH,DAWSON,JDAWSO1,30,5
132,KENNETH,WALTON,KWALTO1,23,5
133,JESSIE,SWEET,JSWEET1,30,5
134,WENDY,THOMPSON,WTHOMP1,29,5
135,BRANDY,PUGH,BPUGH1,29,5
136,MARIE,HUGHES,MHUGHE1,20,5
137,SUSAN,VASQUEZ,SVASQU1,29,5
138,ELMER,COTTON,ECOTTO1,17,5
139,ZACHARY,WEST,ZWEST1,30,5
140,WARREN,FIGUEROA,WFIGUE1,26,5
141,KRISTIN,MORRIS,KMORRI1,11,5
142,MARTIN,MILLER,MMILLE1,15,5
143,NANCY,GORDON,NGORDO1,20,5
144,JORDAN,WILSON,JWILSO1,29,5
145,PHILIP,JAMES,PJAMES1,15,5
146,CRAIG,MERCADO,CMERCA1,26,5
147,LAURA,OWEN,LOWEN1,17,5
148,LEROY,CANTRELL,LCANTR1,30,5
149,HENRY,SMALL,HSMALL1,29,5
150,ZACHARY,SCHULTZ,ZSCHUL1,29,5
151,EVELYN,THOMAS,ETHOMA1,30,5
152,KEN,HARRINGTON,KHARRI1,30,5
153,MICHELLE,FARLEY,MFARLE1,30,5
154,ROBERT,MCMAHON,RMCMAH1,16,5
155,MARGARET,HORTON,MHORTO1,26,5
156,KIMBERLY,EWING,KEWING1,29,5
157,JEREMY,CLARK,JCLARK1,29,5
158,SCOTT,FLEMING,SFLEMI1,27,5
159,RAYMOND,MCKAY,RMCKAY1,27,5
160,ELAINE,YOUNG,EYOUNG1,30,5
161,DOROTHY,NOEL,DNOEL1,28,5
162,THOMAS,ORTIZ,TORTIZ1,23,5
163,EVELYN,LEBLANC,ELEBLA1,14,5
164,TRACY,HUGHES,THUGHE1,19,5
165,BILL,HARVEY,BHARVE1,30,5
166,GARY,ROBERSON,GROBER1,29,5
167,THERESA,GARCIA,TGARCI1,30,5
168,MARGARET,JONES,MJONES1,22,5
169,MELISSA,TURNER,MTURNE1,30,5
170,MICHAEL,DALTON,MDALTO1,29,5
171,MICHAEL,THOMPSON,MTHOMP1,30,5
172,MICHAEL,KELLER,MKELLE1,30,5
173,DORIS,THOMAS,DTHOMA3,28,5
174,SHERRY,POWELL,SPOWEL1,29,5
175,JACK,MORTON,JMORTO1,29,5
176,STACY,UNDERWOOD,SUNDER1,29,5
177,VALERIE,POWELL,VPOWEL1,30,5
178,EDDIE,LIVINGSTON,ELIVIN1,28,5
179,SCOTT,STEVENS,SSTEVE1,4,5
180,AGNES,GUZMAN,AGUZMA1,29,5
181,MARY,NIEVES,MNIEVE1,30,5
182,FRANKLIN,RIDDLE,FRIDDL1,16,5
183,WARREN,BAILEY,WBAILE1,12,5
184,KEITH,WOLFE,KWOLFE1,29,5
185,JEAN,GARDNER,JGARDN1,30,5
186,WALTER,FLOWERS,WFLOWE1,29,5
187,JONATHAN,GENTRY,JGENTR1,11,5
188,JOSEPH,SMITH,JSMITH1,30,5
189,BRENT,HURLEY,BHURLE1,20,5
190,MICHAEL,GILLESPIE,MGILLE1,24,5
191,TERRY,MASON,TMASON1,25,5
192,YVONNE,LONG,YLONG1,30,5
193,JENNIFER,MOORE,JMOORE1,30,5
194,PHYLLIS,STEWART,PSTEWA1,30,5
195,VICKI,VASQUEZ,VVASQU1,23,5
196,CARRIE,MILLER,CMILLE1,30,5
197,SHANE,STAFFORD,SSTAFF1,26,5
198,VICKIE,DILLARD,VDILLA1,23,5
199,SARA,JONES,SJONES1,30,5
200,GARY,RODRIQUEZ,GRODRI1,24,5
201,FRANCES,FREEMAN,FFREEM1,29,5
202,BETTY,RICHARDSON,BRICHA1,29,5
203,RICHARD,WHITE,RWHITE1,30,5
204,WILLIAM,MOON,WMOON1,29,5
205,PAUL,WOODS,PWOODS1,27,5
206,VALERIE,TAYLOR,VTAYLO1,29,5
207,MICHELLE,GUERRA,MGUERR1,29,5
208,MARJORIE,BARKER,MBARKE1,29,5
209,BRIAN,BERRY,BBERRY1,26,5
210,CHRIS,DECKER,CDECKE1,27,5
211,ARTHUR,CAMPBELL,ACAMPB1,21,5
212,MICHAEL,SCOTT,MSCOTT1,30,5
213,JAMES,CHANG,JCHANG1,26,5
214,CHARLES,HAMILTON,CHAMIL2,29,5
215,IVAN,HAMILTON,IHAMIL1,14,5
216,VINCENT,WOOD,VWOOD1,30,5
217,GENE,KEMP,GKEMP1,29,5
218,JASON,MURPHY,JMURPH1,28,5
219,MICHAEL,OWENS,MOWENS1,29,5
220,ANDREW,GALLAGHER,AGALLA1,27,5
221,MARIAN,RODRIGUEZ,MRODRI1,16,5
222,IRENE,HARPER,IHARPE1,7,5
223,MICHAEL,BURTON,MBURTO1,30,5
224,CLIFFORD,ADAMS,CADAMS1,4,5
225,CONNIE,BRADY,CBRADY1,26,5
226,SUSAN,PHELPS,SPHELP1,29,5
227,SANDRA,JOHNSON,SJOHNS1,29,5
228,VELMA,ORTIZ,VORTIZ1,27,5
229,SANDRA,ALLEN,SALLEN1,18,5
230,GAIL,DUKE,GDUKE1,26,5
231,FRANCIS,DAVIS,FDAVIS2,18,5
232,BRIAN,LAWRENCE,BLAWRE1,28,5
233,RICHARD,ROJAS,RROJAS1,30,5
234,BILLY,DAVIS,BDAVIS1,27,5
235,DAVID,GUTIERREZ,DGUTIE1,25,5
236,CONNIE,TODD,CTODD1,29,5
237,CAROLYN,ROSALES,CROSAL1,12,5
238,DENISE,ROTH,DROTH1,26,5
239,JOHN,PUGH,JPUGH1,30,5
240,JENNIFER,JOHNSON,JJOHNS1,29,5
241,KEVIN,HARRIS,KHARRI2,26,5
242,JOHN,HUDSON,JHUDSO1,30,5
243,COLLEEN,GILL,CGILL1,30,5
244,BRADLEY,HERNANDEZ,BHERNA1,26,5
245,BOBBY,WADE,BWADE1,29,5
246,ANNETTE,WARREN,AWARRE1,15,5
247,RAMON,ANDREWS,RANDRE1,7,5
248,JERRY,SMITH,JSMITH2,21,5
249,JAMES,SWANSON,JSWANS1,24,5
250,JOEL,HOWARD,JHOWAR1,30,5
251,TIMOTHY,PHILLIPS,TPHILL1,30,5
252,DAVID,GATES,DGATES1,20,5
253,STEPHEN,KELLEY,SKELLE1,28,5
254,DAVID,PENA,DPENA1,30,5
255,HELEN,WILSON,HWILSO1,4,5
256,JENNIFER,KEITH,JKEITH1,29,5
